Year,Units,display,Bundesland,GeoCode,Value
1995,percentage (%),a) time series,a) germany (total),,21.0
1996,percentage (%),a) time series,a) germany (total),,21.0
1997,percentage (%),a) time series,a) germany (total),,21.0
1998,percentage (%),a) time series,a) germany (total),,22.0
1999,percentage (%),a) time series,a) germany (total),,19.0
2000,percentage (%),a) time series,a) germany (total),,21.0
2001,percentage (%),a) time series,a) germany (total),,21.0
2002,percentage (%),a) time series,a) germany (total),,22.0
2003,percentage (%),a) time series,a) germany (total),,23.0
2004,percentage (%),a) time series,a) germany (total),,23.0
2005,percentage (%),a) time series,a) germany (total),,22.0
2006,percentage (%),a) time series,a) germany (total),,23.0
2007,percentage (%),a) time series,a) germany (total),,23.0
2008,percentage (%),a) time series,a) germany (total),,23.0
2009,percentage (%),a) time series,a) germany (total),,23.0
2010,percentage (%),a) time series,a) germany (total),,22.0
2011,percentage (%),a) time series,a) germany (total),,22.0
2012,percentage (%),a) time series,a) germany (total),,23.0
2013,percentage (%),a) time series,a) germany (total),,22.0
2014,percentage (%),a) time series,a) germany (total),,22.0
2015,percentage (%),a) time series,a) germany (total),,22.0
2016,percentage (%),a) time series,a) germany (total),,21.0
2017,percentage (%),a) time series,a) germany (total),,20.0
2018,percentage (%),a) time series,a) germany (total),,20.0
2019,percentage (%),a) time series,a) germany (total),,19.0
2020,percentage (%),b) target (max),a) germany (total),,10.0
2030,percentage (%),b) target (max),a) germany (total),,10.0
2006,percentage (%),a) time series,bw,code080000000000,28.0
2007,percentage (%),a) time series,bw,code080000000000,28.0
2008,percentage (%),a) time series,bw,code080000000000,28.0
2009,percentage (%),a) time series,bw,code080000000000,27.0
2010,percentage (%),a) time series,bw,code080000000000,27.0
2011,percentage (%),a) time series,bw,code080000000000,27.0
2012,percentage (%),a) time series,bw,code080000000000,27.0
2013,percentage (%),a) time series,bw,code080000000000,27.0
2014,percentage (%),a) time series,bw,code080000000000,27.0
2015,percentage (%),a) time series,bw,code080000000000,26.0
2016,percentage (%),a) time series,bw,code080000000000,26.0
2017,percentage (%),a) time series,bw,code080000000000,25.0
2018,percentage (%),a) time series,bw,code080000000000,24.0
2019,percentage (%),a) time series,bw,code080000000000,23.0
2006,percentage (%),a) time series,by,code090000000000,23.0
2007,percentage (%),a) time series,by,code090000000000,24.0
2008,percentage (%),a) time series,by,code090000000000,25.0
2009,percentage (%),a) time series,by,code090000000000,25.0
2010,percentage (%),a) time series,by,code090000000000,26.0
2011,percentage (%),a) time series,by,code090000000000,25.0
2012,percentage (%),a) time series,by,code090000000000,25.0
2013,percentage (%),a) time series,by,code090000000000,25.0
2014,percentage (%),a) time series,by,code090000000000,25.0
2015,percentage (%),a) time series,by,code090000000000,24.0
2016,percentage (%),a) time series,by,code090000000000,24.0
2017,percentage (%),a) time series,by,code090000000000,24.0
2018,percentage (%),a) time series,by,code090000000000,24.0
2019,percentage (%),a) time series,by,code090000000000,23.0
2006,percentage (%),a) time series,be,code110000000000,14.0
2007,percentage (%),a) time series,be,code110000000000,14.0
2008,percentage (%),a) time series,be,code110000000000,16.0
2009,percentage (%),a) time series,be,code110000000000,15.0
2010,percentage (%),a) time series,be,code110000000000,14.0
2011,percentage (%),a) time series,be,code110000000000,15.0
2012,percentage (%),a) time series,be,code110000000000,15.0
2013,percentage (%),a) time series,be,code110000000000,14.0
2014,percentage (%),a) time series,be,code110000000000,14.0
2015,percentage (%),a) time series,be,code110000000000,14.0
2016,percentage (%),a) time series,be,code110000000000,12.0
2017,percentage (%),a) time series,be,code110000000000,10.0
2018,percentage (%),a) time series,be,code110000000000,10.0
2019,percentage (%),a) time series,be,code110000000000,10.0
2006,percentage (%),a) time series,bb,code120000000000,6.0
2007,percentage (%),a) time series,bb,code120000000000,7.0
2008,percentage (%),a) time series,bb,code120000000000,7.0
2009,percentage (%),a) time series,bb,code120000000000,7.0
2010,percentage (%),a) time series,bb,code120000000000,7.0
2011,percentage (%),a) time series,bb,code120000000000,6.0
2012,percentage (%),a) time series,bb,code120000000000,7.0
2013,percentage (%),a) time series,bb,code120000000000,5.0
2014,percentage (%),a) time series,bb,code120000000000,7.0
2015,percentage (%),a) time series,bb,code120000000000,5.0
2016,percentage (%),a) time series,bb,code120000000000,6.0
2017,percentage (%),a) time series,bb,code120000000000,6.0
2018,percentage (%),a) time series,bb,code120000000000,6.0
2019,percentage (%),a) time series,bb,code120000000000,7.0
2006,percentage (%),a) time series,hb,code040000000000,25.0
2007,percentage (%),a) time series,hb,code040000000000,27.0
2008,percentage (%),a) time series,hb,code040000000000,27.0
2009,percentage (%),a) time series,hb,code040000000000,24.0
2010,percentage (%),a) time series,hb,code040000000000,24.0
2011,percentage (%),a) time series,hb,code040000000000,24.0
2012,percentage (%),a) time series,hb,code040000000000,27.0
2013,percentage (%),a) time series,hb,code040000000000,25.0
2014,percentage (%),a) time series,hb,code040000000000,25.0
2015,percentage (%),a) time series,hb,code040000000000,25.0
2016,percentage (%),a) time series,hb,code040000000000,24.0
2017,percentage (%),a) time series,hb,code040000000000,24.0
2018,percentage (%),a) time series,hb,code040000000000,23.0
2019,percentage (%),a) time series,hb,code040000000000,25.0
2006,percentage (%),a) time series,hh,code020000000000,20.0
2007,percentage (%),a) time series,hh,code020000000000,22.0
2008,percentage (%),a) time series,hh,code020000000000,22.0
2009,percentage (%),a) time series,hh,code020000000000,23.0
2010,percentage (%),a) time series,hh,code020000000000,23.0
2011,percentage (%),a) time series,hh,code020000000000,22.0
2012,percentage (%),a) time series,hh,code020000000000,24.0
2013,percentage (%),a) time series,hh,code020000000000,23.0
2014,percentage (%),a) time series,hh,code020000000000,22.0
2015,percentage (%),a) time series,hh,code020000000000,22.0
2016,percentage (%),a) time series,hh,code020000000000,21.0
2017,percentage (%),a) time series,hh,code020000000000,21.0
2018,percentage (%),a) time series,hh,code020000000000,21.0
2019,percentage (%),a) time series,hh,code020000000000,21.0
2006,percentage (%),a) time series,he,code060000000000,23.0
2007,percentage (%),a) time series,he,code060000000000,24.0
2008,percentage (%),a) time series,he,code060000000000,24.0
2009,percentage (%),a) time series,he,code060000000000,24.0
2010,percentage (%),a) time series,he,code060000000000,25.0
2011,percentage (%),a) time series,he,code060000000000,25.0
2012,percentage (%),a) time series,he,code060000000000,24.0
2013,percentage (%),a) time series,he,code060000000000,23.0
2014,percentage (%),a) time series,he,code060000000000,24.0
2015,percentage (%),a) time series,he,code060000000000,23.0
2016,percentage (%),a) time series,he,code060000000000,22.0
2017,percentage (%),a) time series,he,code060000000000,22.0
2018,percentage (%),a) time series,he,code060000000000,21.0
2019,percentage (%),a) time series,he,code060000000000,19.0
2006,percentage (%),a) time series,mv,code130000000000,2.0
2007,percentage (%),a) time series,mv,code130000000000,2.0
2008,percentage (%),a) time series,mv,code130000000000,3.0
2009,percentage (%),a) time series,mv,code130000000000,3.0
2010,percentage (%),a) time series,mv,code130000000000,4.0
2011,percentage (%),a) time series,mv,code130000000000,6.0
2012,percentage (%),a) time series,mv,code130000000000,7.0
2013,percentage (%),a) time series,mv,code130000000000,6.0
2014,percentage (%),a) time series,mv,code130000000000,8.0
2015,percentage (%),a) time series,mv,code130000000000,7.0
2016,percentage (%),a) time series,mv,code130000000000,6.0
2017,percentage (%),a) time series,mv,code130000000000,6.0
2018,percentage (%),a) time series,mv,code130000000000,6.0
2019,percentage (%),a) time series,mv,code130000000000,6.0
2006,percentage (%),a) time series,ni,code030000000000,25.0
2007,percentage (%),a) time series,ni,code030000000000,24.0
2008,percentage (%),a) time series,ni,code030000000000,23.0
2009,percentage (%),a) time series,ni,code030000000000,22.0
2010,percentage (%),a) time series,ni,code030000000000,22.0
2011,percentage (%),a) time series,ni,code030000000000,22.0
2012,percentage (%),a) time series,ni,code030000000000,21.0
2013,percentage (%),a) time series,ni,code030000000000,20.0
2014,percentage (%),a) time series,ni,code030000000000,22.0
2015,percentage (%),a) time series,ni,code030000000000,22.0
2016,percentage (%),a) time series,ni,code030000000000,21.0
2017,percentage (%),a) time series,ni,code030000000000,21.0
2018,percentage (%),a) time series,ni,code030000000000,21.0
2019,percentage (%),a) time series,ni,code030000000000,21.0
2006,percentage (%),a) time series,nw,code050000000000,24.0
2007,percentage (%),a) time series,nw,code050000000000,24.0
2008,percentage (%),a) time series,nw,code050000000000,24.0
2009,percentage (%),a) time series,nw,code050000000000,23.0
2010,percentage (%),a) time series,nw,code050000000000,23.0
2011,percentage (%),a) time series,nw,code050000000000,23.0
2012,percentage (%),a) time series,nw,code050000000000,24.0
2013,percentage (%),a) time series,nw,code050000000000,23.0
2014,percentage (%),a) time series,nw,code050000000000,23.0
2015,percentage (%),a) time series,nw,code050000000000,23.0
2016,percentage (%),a) time series,nw,code050000000000,22.0
2017,percentage (%),a) time series,nw,code050000000000,21.0
2018,percentage (%),a) time series,nw,code050000000000,20.0
2019,percentage (%),a) time series,nw,code050000000000,19.0
2006,percentage (%),a) time series,rp,code070000000000,21.0
2007,percentage (%),a) time series,rp,code070000000000,22.0
2008,percentage (%),a) time series,rp,code070000000000,22.0
2009,percentage (%),a) time series,rp,code070000000000,22.0
2010,percentage (%),a) time series,rp,code070000000000,22.0
2011,percentage (%),a) time series,rp,code070000000000,22.0
2012,percentage (%),a) time series,rp,code070000000000,22.0
2013,percentage (%),a) time series,rp,code070000000000,22.0
2014,percentage (%),a) time series,rp,code070000000000,21.0
2015,percentage (%),a) time series,rp,code070000000000,20.0
2016,percentage (%),a) time series,rp,code070000000000,20.0
2017,percentage (%),a) time series,rp,code070000000000,19.0
2018,percentage (%),a) time series,rp,code070000000000,18.0
2019,percentage (%),a) time series,rp,code070000000000,17.0
2006,percentage (%),a) time series,sl,code100000000000,24.0
2007,percentage (%),a) time series,sl,code100000000000,26.0
2008,percentage (%),a) time series,sl,code100000000000,26.0
2009,percentage (%),a) time series,sl,code100000000000,25.0
2010,percentage (%),a) time series,sl,code100000000000,25.0
2011,percentage (%),a) time series,sl,code100000000000,25.0
2012,percentage (%),a) time series,sl,code100000000000,25.0
2013,percentage (%),a) time series,sl,code100000000000,24.0
2014,percentage (%),a) time series,sl,code100000000000,23.0
2015,percentage (%),a) time series,sl,code100000000000,24.0
2016,percentage (%),a) time series,sl,code100000000000,24.0
2017,percentage (%),a) time series,sl,code100000000000,24.0
2018,percentage (%),a) time series,sl,code100000000000,23.0
2019,percentage (%),a) time series,sl,code100000000000,22.0
2006,percentage (%),a) time series,sn,code140000000000,9.0
2007,percentage (%),a) time series,sn,code140000000000,9.0
2008,percentage (%),a) time series,sn,code140000000000,9.0
2009,percentage (%),a) time series,sn,code140000000000,9.0
2010,percentage (%),a) time series,sn,code140000000000,9.0
2011,percentage (%),a) time series,sn,code140000000000,10.0
2012,percentage (%),a) time series,sn,code140000000000,11.0
2013,percentage (%),a) time series,sn,code140000000000,11.0
2014,percentage (%),a) time series,sn,code140000000000,11.0
2015,percentage (%),a) time series,sn,code140000000000,11.0
2016,percentage (%),a) time series,sn,code140000000000,10.0
2017,percentage (%),a) time series,sn,code140000000000,9.0
2018,percentage (%),a) time series,sn,code140000000000,8.0
2019,percentage (%),a) time series,sn,code140000000000,7.0
2006,percentage (%),a) time series,st,code150000000000,3.0
2007,percentage (%),a) time series,st,code150000000000,3.0
2008,percentage (%),a) time series,st,code150000000000,3.0
2009,percentage (%),a) time series,st,code150000000000,3.0
2010,percentage (%),a) time series,st,code150000000000,4.0
2011,percentage (%),a) time series,st,code150000000000,5.0
2012,percentage (%),a) time series,st,code150000000000,5.0
2013,percentage (%),a) time series,st,code150000000000,4.0
2014,percentage (%),a) time series,st,code150000000000,5.0
2015,percentage (%),a) time series,st,code150000000000,4.0
2016,percentage (%),a) time series,st,code150000000000,4.0
2017,percentage (%),a) time series,st,code150000000000,6.0
2018,percentage (%),a) time series,st,code150000000000,8.0
2019,percentage (%),a) time series,st,code150000000000,7.0
2006,percentage (%),a) time series,sh,code010000000000,18.0
2007,percentage (%),a) time series,sh,code010000000000,18.0
2008,percentage (%),a) time series,sh,code010000000000,19.0
2009,percentage (%),a) time series,sh,code010000000000,18.0
2010,percentage (%),a) time series,sh,code010000000000,18.0
2011,percentage (%),a) time series,sh,code010000000000,17.0
2012,percentage (%),a) time series,sh,code010000000000,18.0
2013,percentage (%),a) time series,sh,code010000000000,18.0
2014,percentage (%),a) time series,sh,code010000000000,17.0
2015,percentage (%),a) time series,sh,code010000000000,16.0
2016,percentage (%),a) time series,sh,code010000000000,16.0
2017,percentage (%),a) time series,sh,code010000000000,14.0
2018,percentage (%),a) time series,sh,code010000000000,14.0
2019,percentage (%),a) time series,sh,code010000000000,13.0
2006,percentage (%),a) time series,th,code160000000000,6.0
2007,percentage (%),a) time series,th,code160000000000,5.0
2008,percentage (%),a) time series,th,code160000000000,5.0
2009,percentage (%),a) time series,th,code160000000000,6.0
2010,percentage (%),a) time series,th,code160000000000,6.0
2011,percentage (%),a) time series,th,code160000000000,7.0
2012,percentage (%),a) time series,th,code160000000000,8.0
2013,percentage (%),a) time series,th,code160000000000,9.0
2014,percentage (%),a) time series,th,code160000000000,8.0
2015,percentage (%),a) time series,th,code160000000000,9.0
2016,percentage (%),a) time series,th,code160000000000,7.0
2017,percentage (%),a) time series,th,code160000000000,6.0
2018,percentage (%),a) time series,th,code160000000000,6.0
2019,percentage (%),a) time series,th,code160000000000,6.0
