Year,Units,display,title,Value
1996,ha/d,a) time series,"sport-, freizeit- und erholungsfläche, friedhof",8.69
1997,ha/d,a) time series,"sport-, freizeit- und erholungsfläche, friedhof",20.2
1998,ha/d,a) time series,"sport-, freizeit- und erholungsfläche, friedhof",20.56
1999,ha/d,a) time series,"sport-, freizeit- und erholungsfläche, friedhof",20.57
2000,ha/d,a) time series,"sport-, freizeit- und erholungsfläche, friedhof",20.8
2001,ha/d,a) time series,"sport-, freizeit- und erholungsfläche, friedhof",28.49
2002,ha/d,a) time series,"sport-, freizeit- und erholungsfläche, friedhof",21.1
2003,ha/d,a) time series,"sport-, freizeit- und erholungsfläche, friedhof",33.42
2004,ha/d,a) time series,"sport-, freizeit- und erholungsfläche, friedhof",45.72
2005,ha/d,a) time series,"sport-, freizeit- und erholungsfläche, friedhof",56.99
2006,ha/d,a) time series,"sport-, freizeit- und erholungsfläche, friedhof",51.78
2007,ha/d,a) time series,"sport-, freizeit- und erholungsfläche, friedhof",32.6
2008,ha/d,a) time series,"sport-, freizeit- und erholungsfläche, friedhof",38.62
2009,ha/d,a) time series,"sport-, freizeit- und erholungsfläche, friedhof",32.05
2010,ha/d,a) time series,"sport-, freizeit- und erholungsfläche, friedhof",23.29
2011,ha/d,a) time series,"sport-, freizeit- und erholungsfläche, friedhof",27.06
2012,ha/d,a) time series,"sport-, freizeit- und erholungsfläche, friedhof",18.49
2013,ha/d,a) time series,"sport-, freizeit- und erholungsfläche, friedhof",23.06
2014,ha/d,a) time series,"sport-, freizeit- und erholungsfläche, friedhof",17.93
2015,ha/d,a) time series,"sport-, freizeit- und erholungsfläche, friedhof",11.61
2017,ha/d,a) time series,"sport-, freizeit- und erholungsfläche, friedhof",14.92
2018,ha/d,a) time series,"sport-, freizeit- und erholungsfläche, friedhof",10.01
1996,ha/d,a) time series,"wohnbau, industrie und gewerbe (ohne abbauland), öffentliche einrichtungen",87.2
1997,ha/d,a) time series,"wohnbau, industrie und gewerbe (ohne abbauland), öffentliche einrichtungen",83.41
1998,ha/d,a) time series,"wohnbau, industrie und gewerbe (ohne abbauland), öffentliche einrichtungen",86.76
1999,ha/d,a) time series,"wohnbau, industrie und gewerbe (ohne abbauland), öffentliche einrichtungen",86.78
2000,ha/d,a) time series,"wohnbau, industrie und gewerbe (ohne abbauland), öffentliche einrichtungen",86.93
2001,ha/d,a) time series,"wohnbau, industrie und gewerbe (ohne abbauland), öffentliche einrichtungen",69.86
2002,ha/d,a) time series,"wohnbau, industrie und gewerbe (ohne abbauland), öffentliche einrichtungen",65.75
2003,ha/d,a) time series,"wohnbau, industrie und gewerbe (ohne abbauland), öffentliche einrichtungen",44.93
2004,ha/d,a) time series,"wohnbau, industrie und gewerbe (ohne abbauland), öffentliche einrichtungen",60.11
2005,ha/d,a) time series,"wohnbau, industrie und gewerbe (ohne abbauland), öffentliche einrichtungen",34.62
2006,ha/d,a) time series,"wohnbau, industrie und gewerbe (ohne abbauland), öffentliche einrichtungen",29.59
2007,ha/d,a) time series,"wohnbau, industrie und gewerbe (ohne abbauland), öffentliche einrichtungen",39.73
2008,ha/d,a) time series,"wohnbau, industrie und gewerbe (ohne abbauland), öffentliche einrichtungen",34.97
2009,ha/d,a) time series,"wohnbau, industrie und gewerbe (ohne abbauland), öffentliche einrichtungen",27.95
2010,ha/d,a) time series,"wohnbau, industrie und gewerbe (ohne abbauland), öffentliche einrichtungen",33.15
2011,ha/d,a) time series,"wohnbau, industrie und gewerbe (ohne abbauland), öffentliche einrichtungen",29.61
2012,ha/d,a) time series,"wohnbau, industrie und gewerbe (ohne abbauland), öffentliche einrichtungen",40.0
2013,ha/d,a) time series,"wohnbau, industrie und gewerbe (ohne abbauland), öffentliche einrichtungen",29.01
2014,ha/d,a) time series,"wohnbau, industrie und gewerbe (ohne abbauland), öffentliche einrichtungen",21.91
2015,ha/d,a) time series,"wohnbau, industrie und gewerbe (ohne abbauland), öffentliche einrichtungen",39.63
2017,ha/d,a) time series,"wohnbau, industrie und gewerbe (ohne abbauland), öffentliche einrichtungen",31.8
2018,ha/d,a) time series,"wohnbau, industrie und gewerbe (ohne abbauland), öffentliche einrichtungen",32.04
1996,ha/d,a) time series,transport area,23.61
1997,ha/d,a) time series,transport area,20.64
1998,ha/d,a) time series,transport area,23.3
1999,ha/d,a) time series,transport area,23.31
2000,ha/d,a) time series,transport area,23.64
2001,ha/d,a) time series,transport area,22.47
2002,ha/d,a) time series,transport area,22.47
2003,ha/d,a) time series,transport area,20.27
2004,ha/d,a) time series,transport area,24.59
2005,ha/d,a) time series,transport area,25.21
2006,ha/d,a) time series,transport area,24.11
2007,ha/d,a) time series,transport area,24.38
2008,ha/d,a) time series,transport area,21.49
2009,ha/d,a) time series,transport area,18.08
2010,ha/d,a) time series,transport area,20.55
2011,ha/d,a) time series,transport area,16.95
2012,ha/d,a) time series,transport area,10.86
